Date,"
Oil volume (m3/day)",Volume of liquid (m3/day),"
Gas volume (m3/day)",Water volume (m3/day),Water cut (%) ,"
Working hours","
Dynamic level (m)","
Reservoir pressure (atm)"
42415,3,93,733,90,97,24,1731,170
42416,16,89,4184,73,82,24,1775,170
42417,18,89,4882,70,79,24,1811,170
42418,18,80,4746,63,78,24,1843,170
42419,17,79,4687,62,78,24,1843,170
42420,16,73,4336,57,78,23,1793,170
42421,17,76,4486,59,78,24,1803,170
42422,17,76,4486,59,78,24,1800,170
42423,16,73,4291,57,78,24,1801,170
42424,17,77,4527,60,78,24,1806,169
42425,17,77,4527,60,78,24,1807,169
42426,16,72,4226,56,78,24,1814,169
42427,16,72,4226,56,78,24,1816,169
42428,15,72,3944,57,79,24,1823,169
42429,15,72,3944,57,79,24,1821,169
42430,15,72,3944,57,79,24,1825,169
42431,15,72,3988,57,79,24,1830,169
42432,15,72,3988,57,79,24,1831,169
42433,14,73,3809,58,80,24,1831,169
42434,14,73,3809,58,80,24,1856,169
42435,14,71,3730,57,80,24,1866,169
42436,14,71,3730,57,80,24,1875,169
42437,14,73,3819,58,80,24,1883,169
42438,14,73,3819,58,80,24,1889,169
42439,15,68,3930,53,78,24,1886,169
42440,15,68,3930,53,78,24,1885,169
42441,15,68,3930,53,78,24,1883,169
42442,15,68,3930,53,78,24,1862,169
42443,15,68,3930,53,78,24,1842,169
42444,15,68,3930,53,78,24,1839,169
42445,15,71,4074,55,78,24,1836,169
42446,15,71,4074,55,78,24,1841,169
42447,16,71,4259,55,77,24,1845,169
42448,16,71,4259,55,77,24,1847,169
42449,16,71,4259,55,77,24,1839,169
42450,16,71,4259,55,77,24,1839,168
42451,16,71,4259,55,77,24,1840,168
42452,15,67,4064,52,77,23,1837,168
42453,16,71,4259,55,77,24,1839,168
42454,15,66,3999,51,77,24,1840,168
42455,13,66,3478,53,80,24,1849,168
42456,13,66,3478,53,80,24,1847,168
42457,13,66,3478,53,80,24,1849,168
42458,13,66,3478,53,80,24,1847,168
42459,13,66,3478,53,80,24,1850,168
42460,15,68,3930,53,78,24,1852,168
42461,15,68,3930,53,78,24,1851,168
42462,13,62,3586,49,78,22,1831,168
42463,13,58,3373,46,78,21,1831,168
42464,15,68,3930,53,78,24,1842,168
42465,15,68,3930,53,78,24,1848,168
42466,15,68,3930,53,78,24,1850,168
42467,13,59,3436,47,78,21,1832,168
42468,14,65,3783,51,78,23,1831,168
42469,16,65,4298,49,75,23,1838,168
42470,15,61,3979,46,75,21,1838,168
42471,15,61,3979,46,75,21,1838,168
42472,15,63,4129,48,75,22,1848,168
42473,14,56,3698,43,75,20,1848,168
42474,17,71,4684,54,75,20,1861,168
42475,17,71,4684,54,75,20,1856,167
42476,17,67,4550,50,74,18,1860,167
42477,14,57,3884,42,74,20,1860,167
42478,14,57,3884,42,74,20,1850,167
42479,14,57,3884,42,74,20,1850,167
42480,15,57,3924,43,74,20,1850,167
42481,14,57,3884,42,74,20,1850,167
42482,15,57,3904,43,74,20,1850,167
42483,15,57,3904,43,74,20,1878,167
42484,15,57,3915,43,74,20,1859,167
42485,14,55,3737,41,74,20,1827,167
42486,14,58,3640,44,76,20,1829,167
42487,14,58,3640,44,76,20,1870,167
42488,12,56,3251,44,78,19,1834,167
42489,11,51,2945,40,78,17,1825,167
42490,12,58,3337,45,78,20,1820,167
42491,12,57,3320,45,78,20,1829,167
42492,12,58,3354,46,78,20,1826,167
42493,12,58,3337,45,78,20,1850,167
42494,12,58,3337,45,78,20,1872,167
42495,12,58,3337,45,78,20,1828,167
42496,12,58,3337,45,78,20,1829,167
42497,12,58,3337,45,78,20,1828,167
42498,10,46,2656,36,78,16,1829,167
42499,14,64,3685,50,78,20,1832,167
42500,14,64,3685,50,78,20,1824,167
42501,14,63,3667,50,78,20,1904,166
42502,14,63,3648,50,78,20,1834,166
42503,14,63,3648,50,78,20,1818,166
42504,14,63,3648,50,78,20,1819,166
42505,14,64,3685,50,78,20,1821,166
42506,14,64,3685,50,78,20,1817,166
42507,14,64,3685,50,78,20,1822,166
42508,14,64,3685,50,78,20,1822,166
42509,14,64,3685,50,78,20,1822,166
42510,14,64,3685,50,78,20,1822,166
42511,14,64,3685,50,78,20,1829,166
42512,14,63,3629,49,78,20,1828,166
42513,15,64,4020,49,76,20,1845,166
42514,14,61,3858,47,76,20,1810,166
42515,13,55,3451,42,76,18,1812,166
42516,12,52,3276,40,76,17,1812,166
42517,14,61,3858,47,76,20,1833,166
42518,14,61,3858,47,76,20,1838,166
42519,10,50,2782,40,79,16,1839,166
42520,6,27,1510,22,79,9,1822,166
42521,6,27,1510,22,79,9,1822,166
42522,6,27,1510,22,79,9,1822,166
42523,6,27,1510,22,79,9,1822,166
42524,6,27,1510,22,79,9,1822,166
42525,6,27,1510,22,79,9,1822,166
42526,6,27,1510,22,79,9,1822,166
42527,1,62,326,61,98,24,1647,165
42528,2,62,489,60,97,24,1656,165
42529,2,70,552,68,97,24,1685,165
42530,2,68,536,66,97,24,1708,165
42531,3,69,906,66,95,24,1749,165
42532,3,65,851,62,95,24,1743,165
42533,8,65,2213,57,87,24,1769,165
42534,8,66,2247,57,87,24,1768,165
42535,12,62,3094,50,81,24,1779,165
42536,12,62,3094,50,81,24,1779,165
42537,12,62,3094,50,81,24,1798,165
42538,12,62,3094,50,81,24,1808,165
42539,10,58,2752,48,82,24,1815,165
42540,10,58,2752,48,82,24,1830,165
42541,10,58,2752,48,82,24,1840,165
42542,10,58,2752,48,82,24,1848,165
42543,10,58,2752,48,82,24,1846,165
42544,10,58,2752,48,82,24,1845,165
42545,10,58,2752,48,82,24,1846,165
42546,11,58,3058,47,80,24,1851,165
42547,11,57,3010,46,80,24,1853,165
42548,11,57,3010,46,80,24,1854,165
42549,12,57,3161,46,79,24,1860,165
42550,12,60,3299,48,79,24,1866,165
42551,12,60,3299,48,79,24,1869,165
42552,12,60,3299,48,79,24,1865,165
42553,12,60,3299,48,79,24,1884,164
42554,12,60,3299,48,79,24,1880,164
42555,13,60,3456,47,78,24,1876,164
42556,13,59,3404,46,78,24,1880,164
42557,13,59,3404,46,78,24,1882,164
42558,13,59,3404,46,78,24,1891,164
42559,13,59,3558,46,77,24,1894,164
42560,13,59,3558,46,77,24,1893,164
42561,13,60,3595,46,77,24,1898,164
42562,14,60,3751,46,76,24,1894,164
42563,14,60,3751,46,76,24,1895,164
42564,14,60,3751,46,76,24,1893,164
42565,14,58,3626,44,76,23,1896,164
42566,14,60,3751,46,76,24,1894,164
42567,13,57,3568,43,76,24,1887,164
42568,13,57,3568,43,76,24,1880,164
42569,13,54,3419,42,76,23,1902,164
42570,13,57,3568,43,76,24,1893,164
42571,13,57,3568,43,76,24,1901,164
42572,13,57,3568,43,76,24,1903,164
42573,13,57,3568,43,76,24,1902,164
42574,13,57,3568,43,76,24,1901,164
42575,13,57,3568,43,76,24,1903,164
42576,13,54,3419,42,76,23,1903,164
42577,13,57,3606,44,76,24,1902,164
42578,13,57,3606,44,76,24,1902,163
42579,13,57,3568,43,76,24,1906,163
42580,13,57,3568,43,76,24,1901,163
42581,13,57,3568,43,76,24,1902,163
42582,14,58,3650,44,76,24,1903,163
42583,14,58,3650,44,76,24,1903,163
42584,14,58,3650,44,76,24,1906,163
42585,14,58,3650,44,76,24,1906,163
42586,14,59,3894,45,75,24,1901,163
42587,14,59,3894,45,75,24,1903,163
42588,14,59,3894,45,75,24,1906,163
42589,14,59,3738,45,76,24,1902,163
42590,15,59,4050,44,74,24,1905,163
42591,15,57,3900,43,74,24,1902,163
42592,15,57,3900,43,74,24,1906,163
42593,15,57,3900,43,74,24,1906,163
42594,15,58,3954,43,74,24,1909,163
42595,15,58,3954,43,74,24,1908,163
42596,15,58,3954,43,74,24,1907,163
42597,15,58,3954,43,74,24,1909,163
42598,14,59,3694,45,76,24,1909,163
42599,14,59,3694,45,76,24,1906,163
42600,14,59,3732,45,76,24,1908,163
42601,14,59,3732,45,76,24,1908,163
42602,14,59,3732,45,76,24,1908,163
42603,14,59,3732,45,76,24,1908,163
42604,13,59,3421,46,78,24,1904,162
42605,14,59,3888,45,75,24,1907,162
42606,14,59,3888,45,75,24,1913,162
42607,14,59,3888,45,75,24,1916,162
42608,15,60,3920,45,75,24,1916,162
42609,15,60,3920,45,75,24,1912,162
42610,15,60,3920,45,75,24,1918,162
42611,15,60,3920,45,75,24,1923,162
42612,13,60,3607,46,77,24,1931,162
42613,13,59,3583,46,77,24,1938,162
42614,13,59,3583,46,77,24,1933,162
42615,13,59,3583,46,77,24,1937,162
42616,13,59,3583,46,77,24,1944,162
42617,14,59,3738,45,76,24,1944,162
42618,13,57,3587,44,76,24,1953,162
42619,13,57,3587,44,76,24,1956,162
42620,13,57,3587,44,76,24,1960,162
42621,13,57,3587,44,76,24,1967,162
42622,12,57,3288,45,78,24,1965,162
42623,12,57,3288,45,78,24,1968,162
42624,12,57,3288,45,78,24,1968,162
42625,12,57,3288,45,78,24,1968,162
42626,12,57,3288,45,78,24,1968,162
42627,12,57,3288,45,78,24,1963,162
42628,12,57,3288,45,78,24,1966,162
42629,12,57,3288,45,78,24,1966,162
42630,12,57,3288,45,78,24,1966,161
42631,13,57,3438,44,77,24,1966,161
42632,13,57,3438,44,77,24,1966,161
42633,13,57,3438,44,77,24,1966,161
42634,13,57,3587,44,76,24,1967,161
42635,14,60,3776,46,76,24,1967,161
42636,14,60,3776,46,76,24,1887,161
42637,14,59,3732,45,76,24,1907,161
42638,14,59,3732,45,76,24,1902,161
42639,6,25,1555,19,76,10,1911,161
42640,14,59,3732,45,76,24,1823,161
42641,14,59,3713,45,76,24,1849,161
42642,14,59,3713,45,76,24,1861,161
42643,14,59,3713,45,76,24,1891,161
42644,14,59,3713,45,76,24,1906,161
42645,12,57,3277,45,78,24,1907,161
42646,12,57,3277,45,78,24,1907,161
42647,12,57,3277,45,78,24,1916,161
42648,12,57,3277,45,78,24,1907,161
42649,12,57,3277,45,78,24,1907,161
42650,11,57,2973,46,80,24,1906,161
42651,11,57,2973,46,80,24,1906,161
42652,10,57,2676,47,82,24,1906,161
42653,10,57,2676,47,82,24,1901,161
42654,10,58,2733,48,82,24,1906,161
42655,10,58,2733,48,82,24,1909,161
42656,10,58,2733,48,82,24,1909,160
42657,10,58,2733,48,82,24,1907,160
42658,11,58,2885,47,81,24,1900,160
42659,10,57,2820,46,81,24,1907,160
42660,10,57,2820,46,81,24,1901,160
42661,10,57,2820,46,81,24,1901,160
42662,11,57,2845,46,81,24,1906,160
42663,11,57,2845,46,81,24,1909,160
42664,11,57,2845,46,81,24,1907,160
42665,11,57,2845,46,81,24,1907,160
42666,12,60,3299,48,79,24,1907,160
42667,12,60,3299,48,79,24,1917,160
42668,12,60,3299,48,79,24,1914,160
42669,12,57,3139,45,79,24,1913,160
42670,13,57,3438,44,77,24,1916,160
42671,13,57,3438,44,77,24,1915,160
42672,13,57,3438,44,77,24,1879,160
42673,12,53,3180,41,77,22,1909,160
42674,13,57,3587,44,76,24,1909,160
42675,13,57,3587,44,76,24,1892,160
42676,13,57,3587,44,76,24,1905,160
42677,13,57,3587,44,76,24,1905,160
42678,12,53,3318,40,76,22,1898,160
42679,14,57,3737,43,75,24,1898,160
42680,13,52,3425,39,75,22,1893,160
42681,14,57,3737,43,75,24,1893,160
42682,14,57,3737,43,75,24,1908,159
42683,14,57,3737,43,75,24,1909,159
42684,14,57,3737,43,75,24,1909,159
42685,14,57,3737,43,75,24,1903,159
42686,14,57,3737,43,75,24,1908,159
42687,14,55,3773,41,74,23,1906,159
42688,14,57,3886,42,74,24,1891,159
42689,14,57,3886,42,74,24,1902,159
42690,14,57,3886,42,74,24,1907,159
42691,14,57,3886,42,74,24,1909,159
42692,14,57,3886,42,74,24,1911,159
42693,14,57,3886,42,74,24,1911,159
42694,13,50,3433,37,74,21,1908,159
42695,14,57,3886,42,74,24,1901,159
42696,14,57,3886,42,74,24,1900,159
42697,13,50,3449,38,74,21,1900,159
42698,14,57,3886,42,74,24,1898,159
42699,12,50,3184,39,76,21,1862,159
42700,13,57,3587,44,76,24,1898,159
42701,13,57,3587,44,76,24,1896,159
42702,13,57,3587,44,76,24,1816,159
42703,13,57,3587,44,76,24,1860,159
42704,13,57,3587,44,76,24,1871,159
42705,13,57,3587,44,76,24,1878,159
42706,13,57,3438,44,77,24,1881,159
42707,13,57,3438,44,77,24,1888,158
42708,13,57,3587,44,76,24,1886,158
42709,13,57,3587,44,76,24,1890,158
42710,13,57,3587,44,76,24,1888,158
42711,13,57,3587,44,76,24,1899,158
42712,13,57,3587,44,76,24,1888,158
42713,13,57,3587,44,76,24,1888,158
42714,12,51,3332,38,75,21,1890,158
42715,14,57,3737,43,75,24,1678,158
42716,14,57,3737,43,75,24,1678,158
42717,14,57,3737,43,75,24,1678,158
42718,14,57,3737,43,75,24,1678,158
42719,13,51,3598,37,73,21,1678,158
42720,13,51,3598,37,73,21,1678,158
42721,14,52,3666,38,73,22,1678,158
42722,15,57,4035,42,73,24,1678,158
42723,15,57,4035,42,73,24,1749,158
42724,15,57,4035,42,73,24,1749,158
42725,15,57,4035,42,73,24,1802,158
42726,15,57,4035,42,73,24,1816,158
42727,15,57,4035,42,73,24,1838,158
42728,16,57,4334,41,71,24,1838,158
42729,16,57,4334,41,71,24,1842,158
42730,16,57,4334,41,71,24,1847,158
42731,16,57,4334,41,71,24,1879,158
42732,16,57,4334,41,71,24,1886,158
42733,15,51,3901,37,71,22,1886,157
42734,16,57,4334,41,71,24,1886,157
42735,16,55,4226,40,71,23,1886,157
42736,16,57,4334,41,71,24,1884,157
42737,16,57,4334,41,71,24,1893,157
42738,16,57,4334,41,71,24,1893,157
42739,16,57,4334,41,71,24,1872,157
42740,16,57,4334,41,71,24,1901,157
42741,16,57,4334,41,71,24,1901,157
42742,16,57,4334,41,71,24,1901,157
42743,17,57,4484,40,70,24,1901,157
42744,17,57,4484,40,70,24,1901,157
42745,17,57,4484,40,70,24,1901,157
42746,16,53,4166,37,70,22,1901,157
42747,17,57,4484,40,70,24,1901,157
42748,15,50,3940,35,70,24,1862,157
42749,13,43,3415,31,70,21,1909,157
42750,15,50,3940,35,70,24,1878,157
42751,13,45,3563,32,70,22,1895,157
42752,13,45,3563,32,70,22,1902,157
42753,15,50,4071,35,69,24,1876,157
42754,15,50,4071,35,69,24,1876,157
42755,15,50,4071,35,69,24,1875,157
42756,16,50,4203,34,68,24,1877,157
42757,16,50,4203,34,68,24,1875,157
42758,16,50,4203,34,68,24,1875,157
42759,16,50,4203,34,68,24,1873,156
42760,16,50,4203,34,68,24,1875,156
42761,16,50,4203,34,68,24,1875,156
42762,16,50,4334,34,67,24,1832,156
42763,16,50,4334,34,67,24,1843,156
42764,16,50,4334,34,67,24,1847,156
42765,16,50,4334,34,67,24,1847,156
42766,16,50,4334,34,67,24,1847,156
42767,16,50,4334,34,67,24,1847,156
42768,16,50,4334,34,67,24,1847,156
42769,16,50,4334,34,67,24,1848,156
42770,16,50,4203,34,68,24,1846,156
42771,16,50,4203,34,68,24,1848,156
42772,16,50,4203,34,68,24,1853,156
42773,16,50,4203,34,68,24,1844,156
42774,16,50,4203,34,68,24,1847,156
42775,16,50,4203,34,68,24,1845,156
42776,14,43,3702,29,67,21,1845,156
42777,16,50,4334,34,67,24,1772,156
42778,16,50,4334,34,67,24,1817,156
42779,16,50,4334,34,67,24,1827,156
42780,16,50,4334,34,67,24,1840,156
42781,16,50,4334,34,67,24,1840,156
42782,16,50,4334,34,67,24,1840,156
42783,16,50,4334,34,67,24,1840,156
42784,16,50,4203,34,68,24,1860,156
42785,16,50,4203,34,68,24,1865,155
42786,15,47,3958,32,68,23,1869,155
42787,16,50,4203,34,68,24,1860,155
42788,16,50,4203,34,68,24,1860,155
42789,16,50,4203,34,68,24,1877,155
42790,17,52,4507,35,67,24,1871,155
42791,17,52,4507,35,67,24,1870,155
42792,17,52,4507,35,67,24,1870,155
42793,17,52,4507,35,67,24,1877,155
42794,17,52,4507,35,67,24,1880,155
42795,13,41,3550,28,67,19,1880,155
42796,17,52,4507,35,67,24,1880,155
42797,16,52,4234,36,69,24,1875,155
42798,16,52,4234,36,69,24,1875,155
42799,14,46,3705,32,69,21,1892,155
42800,16,52,4234,36,69,24,1979,155
42801,16,52,4234,36,69,24,1979,155
42802,16,52,4234,36,69,24,1921,155
42803,16,52,4234,36,69,24,1931,155
42804,16,52,4234,36,69,24,1931,155
42805,16,52,4234,36,69,24,1928,155
42806,13,42,3387,29,69,19,1928,155
42807,13,44,3449,31,70,20,1928,155
42808,15,52,4098,37,70,24,1957,155
42809,15,52,4098,37,70,24,1958,155
42810,15,52,4098,37,70,24,1955,154
42811,16,52,4234,36,69,24,1955,154
42812,16,52,4234,36,69,24,1957,154
42813,16,52,4371,36,68,24,1957,154
42814,16,52,4371,36,68,24,1955,154
42815,14,44,3733,31,68,21,1955,154
42816,17,52,4507,35,67,24,1965,154
42817,17,51,4582,34,66,24,1809,154
42818,17,51,4582,34,66,24,1851,154
42819,17,51,4582,34,66,24,1851,154
42820,16,49,4394,33,66,24,1855,154
42821,16,49,4394,33,66,24,1855,154
42822,17,49,4523,32,65,24,1855,154
42823,17,49,4523,32,65,24,1855,154
42824,17,49,4523,32,65,24,1855,154
42825,17,49,4523,32,65,24,1862,154
42826,16,47,4335,31,65,23,1862,154
42827,17,49,4523,32,65,24,1862,154
42828,17,51,4652,33,65,24,1842,154
42829,17,51,4652,33,65,24,1846,154
42830,16,47,4342,31,65,22,1846,154
42831,17,51,4519,34,66,24,1841,154
42832,17,51,4519,34,66,24,1846,154
42833,17,51,4519,34,66,24,1848,154
42834,17,51,4519,34,66,24,1848,154
42835,17,51,4519,34,66,24,1847,154
42836,17,51,4519,34,66,24,1846,153
42837,17,51,4519,34,66,24,1846,153
42838,17,51,4652,33,65,24,1852,153
42839,17,51,4652,33,65,24,1858,153
42840,17,51,4652,33,65,24,1858,153
42841,17,51,4652,33,65,24,1858,153
42842,17,51,4652,33,65,24,1858,153
42843,17,51,4689,34,65,24,1858,153
42844,17,51,4689,34,65,24,1858,153
42845,17,51,4689,34,65,24,1858,153
42846,18,51,4957,33,63,24,1858,153
42847,18,51,4957,33,63,24,1858,153
42848,18,51,4957,33,63,24,1858,153
42849,18,51,4957,33,63,24,1858,153
42850,18,51,4957,33,63,24,1858,153
42851,18,51,4957,33,63,24,1858,153
42852,18,51,4957,33,63,24,1858,153
42853,18,51,4957,33,63,24,1858,153
42854,17,51,4689,34,65,24,1858,153
42855,17,51,4689,34,65,24,1858,153
42856,17,51,4689,34,65,24,1858,153
42857,17,51,4689,34,65,24,1858,153
42858,17,51,4689,34,65,24,1858,153
42859,15,51,4153,36,69,24,1858,153
42860,15,51,4153,36,69,24,1858,153
42861,15,51,4153,36,69,24,1858,153
42862,15,51,4153,36,69,24,1858,152
42863,15,51,4153,36,69,24,1820,152
42864,15,51,4153,36,69,24,1820,152
42865,15,51,4153,36,69,24,1820,152
42866,15,51,4153,36,69,24,1820,152
42867,15,51,4153,36,69,24,1820,152
42868,15,51,4019,36,70,24,1820,152
42869,15,51,4019,36,70,24,1820,152
42870,15,51,4019,36,70,24,1820,152
42871,15,51,4019,36,70,24,1851,152
42872,15,51,4043,36,70,24,1847,152
42873,15,51,3908,37,71,24,1849,152
42874,15,51,3908,37,71,24,1838,152
42875,15,51,3908,37,71,24,1838,152
42876,16,51,4312,35,68,24,1838,152
42877,16,51,4312,35,68,24,1841,152
42878,16,51,4312,35,68,24,1847,152
42879,16,51,4312,35,68,24,1849,152
42880,16,52,4346,36,68,24,1849,152
42881,16,52,4346,36,68,24,1849,152
42882,16,52,4346,36,68,24,1849,152
42883,16,52,4210,36,69,24,1849,152
42884,16,52,4210,36,69,24,1841,152
42885,16,52,4210,36,69,24,1841,152
42886,16,52,4210,36,69,24,1841,152
42887,16,52,4210,36,69,24,1841,152
42888,14,45,3701,32,69,21,1841,151
42889,15,51,4122,35,69,24,1845,151
42890,16,52,4210,36,69,24,1841,151
42891,16,52,4210,36,69,24,1841,151
42892,16,52,4210,36,69,24,1841,151
42893,16,52,4210,36,69,24,1841,151
42894,16,52,4210,36,69,24,1851,151
42895,16,52,4210,36,69,24,1851,151
42896,16,52,4210,36,69,24,1851,151
42897,16,52,4210,36,69,24,1860,151
42898,16,52,4210,36,69,24,1855,151
42899,14,52,3802,38,72,24,1855,151
42900,14,52,3802,38,72,24,1855,151
42901,14,52,3802,38,72,24,1855,151
42902,14,50,3641,36,72,24,1855,151
42903,14,50,3641,36,72,24,1857,151
42904,14,50,3641,36,72,24,1850,151
42905,13,50,3511,36,73,24,1808,151
42906,13,50,3511,36,73,24,1808,151
42907,13,50,3511,36,73,24,1815,151
42908,15,50,4031,34,69,24,1815,151
42909,15,50,4104,35,69,24,1827,151
42910,15,50,4104,35,69,24,1827,151
42911,15,50,4104,35,69,24,1832,151
42912,15,51,4153,36,69,24,1832,151
42913,15,51,4153,36,69,24,1832,151
42914,15,51,4161,36,69,24,1826,150
42915,14,51,3758,37,72,24,1826,150
42916,14,51,3758,37,72,24,1826,150
42917,14,51,3758,37,72,24,1826,150
42918,14,50,3699,37,72,24,1846,150
42919,13,50,3539,37,73,24,1846,150
42920,13,50,3539,37,73,24,1846,150
42921,13,50,3539,37,73,24,1846,150
42922,13,50,3539,37,73,24,1849,150
42923,14,50,3670,36,72,24,1849,150
42924,14,50,3677,36,72,24,1849,150
42925,14,50,3677,36,72,24,1858,150
42926,14,50,3677,36,72,24,1844,150
42927,12,50,3152,38,76,24,1848,150
42928,11,46,2925,36,76,24,1848,150
42929,11,46,2925,36,76,24,1847,150
42930,13,46,3535,33,71,24,1858,150
42931,13,46,3535,33,71,24,1858,150
42932,13,45,3417,32,71,23,1858,150
42933,13,46,3535,33,71,24,1858,150
42934,14,54,3708,40,74,24,1858,150
42935,14,54,3708,40,74,24,1858,150
42936,13,53,3600,39,74,23,1858,150
42937,14,54,3708,40,74,24,1858,150
42938,13,54,3566,41,75,24,1858,150
42939,13,52,3388,39,75,23,1858,149
42940,13,54,3566,41,75,24,1858,149
42941,13,54,3566,41,75,24,1858,149
42942,13,54,3566,41,75,24,1863,149
42943,13,55,3585,41,75,24,1863,149
42944,13,55,3585,41,75,24,1863,149
42945,13,55,3585,41,75,24,1863,149
42946,13,55,3585,41,75,24,1863,149
42947,13,55,3585,41,75,24,1863,149
42948,13,55,3585,41,75,24,1863,149
42949,14,55,3729,41,74,24,1863,149
42950,12,47,3189,35,74,24,1863,149
42951,12,47,3189,35,74,24,1863,149
42952,14,51,3744,37,72,24,1863,149
42953,13,51,3476,38,74,24,1863,149
42954,13,51,3476,38,74,24,1863,149
42955,11,43,2926,32,74,20,1863,149
42956,13,51,3476,38,74,24,1863,149
42957,13,52,3517,38,74,24,1863,149
42958,15,52,3923,37,71,24,1863,149
42959,15,52,3923,37,71,24,1863,149
42960,14,49,3727,35,71,23,1863,149
42961,15,52,3923,37,71,24,1863,149
42962,15,52,3923,37,71,24,1863,149
42963,14,49,3740,35,71,24,1846,149
42964,14,49,3740,35,71,24,1810,149
42965,17,56,4593,39,69,24,1829,148
42966,17,56,4593,39,69,24,1829,148
42967,17,56,4593,39,69,24,1843,148
42968,16,53,4348,37,69,24,1842,148
42969,16,53,4348,37,69,24,1847,148
42970,17,53,4489,37,68,24,1847,148
42971,14,46,3875,32,68,24,1843,148
42972,14,45,3762,31,68,23,1847,148
42973,14,45,3762,31,68,23,1847,148
42974,21,68,5537,47,69,24,1857,148
42975,21,68,5537,47,69,24,1857,148
42976,16,51,4177,36,69,24,1844,148
42977,16,53,4308,37,69,24,1844,148
42978,16,53,4308,37,69,24,1856,148
42979,16,54,4373,37,69,24,1856,148
42980,17,54,4514,37,68,24,1853,148
42981,17,54,4514,37,68,24,1853,148
42982,17,54,4514,37,68,24,1869,148
42983,18,58,4833,40,68,24,1872,148
42984,19,58,4984,39,67,24,1872,148
42985,18,55,4776,37,67,24,1832,148
42986,18,55,4776,37,67,24,1848,148
42987,18,55,4776,37,67,24,1846,148
42988,18,55,4776,37,67,24,1847,148
42989,19,56,5102,37,65,24,1845,148
42990,19,56,5102,37,65,24,1845,148
42991,19,56,5102,37,65,24,1845,147
42992,19,56,5102,37,65,24,1846,147
42993,19,56,5102,37,65,24,1843,147
42994,19,56,5102,37,65,24,1843,147
42995,19,56,5102,37,65,24,1843,147
42996,14,52,3817,38,72,24,1843,147
42997,14,52,3817,38,72,24,1843,147
42998,14,52,3817,38,72,24,1843,147
42999,14,52,3817,38,72,24,1843,147
43000,14,52,3817,38,72,24,1843,147
43001,14,52,3681,38,73,24,1843,147
43002,14,52,3681,38,73,24,1843,147
43003,14,52,3681,38,73,24,1843,147
43004,14,52,3681,38,73,24,1843,147
43005,11,52,2999,41,78,24,1843,147
43006,11,52,2863,41,79,24,1843,147
43007,11,55,3023,44,79,24,1843,147
43008,11,55,3023,44,79,24,1843,147
43009,11,55,3023,44,79,24,1843,147
43010,11,55,3023,44,79,24,1843,147
43011,11,55,3023,44,79,24,1843,147
43012,11,55,3023,44,79,24,1843,147
43013,11,54,2973,43,79,24,1843,147
43014,12,54,3115,42,78,24,1843,147
43015,11,52,3022,41,78,24,1843,147
43016,12,54,3256,42,77,24,1850,147
43017,12,54,3256,42,77,24,1850,146
43018,12,54,3256,42,77,24,1850,146
43019,12,54,3256,42,77,24,1850,146
43020,11,54,2973,43,79,24,1850,146
43021,11,54,2973,43,79,24,1850,146
43022,11,54,2973,43,79,24,1850,146
43023,11,54,2973,43,79,24,1850,146
43024,11,54,2973,43,79,24,1846,146
43025,10,50,2769,40,79,24,1846,146
43026,11,50,2901,39,78,24,1858,146
43027,12,58,3340,45,78,24,1876,146
43028,12,58,3340,45,78,24,1862,146
43029,12,58,3340,45,78,24,1863,146
43030,12,55,3190,43,78,24,1863,146
43031,12,54,3123,42,78,24,1864,146
43032,12,55,3190,43,78,24,1863,146
43033,12,55,3190,43,78,24,1858,146
43034,14,66,3837,52,78,24,1855,146
43035,12,57,3265,44,78,24,1851,146
43036,11,52,2993,41,78,24,1850,146
43037,11,52,2993,41,78,24,1857,146
43038,11,52,2993,41,78,24,1851,146
43039,11,52,2993,41,78,24,1850,146
43040,12,55,3196,43,78,24,1848,146
43041,12,55,3196,43,78,24,1846,146
43042,12,55,3184,43,78,24,1848,145
43043,16,69,4325,52,76,24,1819,145
43044,16,69,4325,52,76,24,1831,145
43045,13,55,3493,42,76,24,1829,145
43046,12,52,3259,40,76,24,1832,145
43047,12,52,3259,40,76,24,1833,145
43048,13,55,3455,42,76,24,1832,145
43049,13,55,3455,42,76,24,1832,145
43050,14,58,3663,44,76,24,1831,145
43051,12,53,3335,40,76,24,1831,145
43052,12,53,3335,40,76,24,1698,145
43053,12,53,3335,40,76,24,1816,145
43054,12,53,3335,40,76,24,1830,145
43055,12,53,3335,40,76,24,1830,145
43056,12,53,3335,40,76,24,1825,145
43057,13,56,3518,43,76,24,1825,145
43058,13,56,3518,43,76,24,1830,145
43059,13,56,3518,43,76,24,1830,145
43060,13,56,3518,43,76,24,1831,145
43061,13,52,3441,40,75,24,1831,145
43062,13,52,3441,40,75,24,1831,145
43063,13,52,3441,40,75,24,1829,145
43064,13,52,3441,40,75,24,1842,145
43065,13,52,3579,39,74,24,1842,145
43066,13,52,3579,39,74,24,1842,145
43067,13,52,3579,39,74,24,1756,145
43068,14,55,3784,41,74,24,1767,144
43069,14,55,3784,41,74,24,1757,144
43070,14,55,3784,41,74,24,1757,144
43071,14,55,3784,41,74,24,1757,144
43072,14,55,3784,41,74,24,1757,144
43073,14,55,3784,41,74,24,1757,144
43074,16,58,4295,42,72,24,1757,144
43075,16,58,4295,42,72,24,1757,144
43076,16,58,4295,42,72,24,1757,144
